epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,129.009,2.32354,2.52262,0.00655,0.76728,0.72049,0.68374,0.23136,1.9391,1.63909,0.00474,0.00997722,0.00332574,0.00997722,0.00332574,0.00997722,0.00332574,0.00997722,0.00332574
2,230.217,2.12021,1.37757,0.00525,0.71207,0.71727,0.64151,0.20049,2.20776,1.22278,0.00547,0.0195817,0.00652722,0.0195817,0.00652722,0.0195817,0.00652722,0.0195817,0.00652722
3,332.015,2.19844,1.28796,0.00546,0.72879,0.79292,0.74954,0.26589,2.17241,1.18233,0.0054,0.0287901,0.00959671,0.0287901,0.00959671,0.0287901,0.00959671,0.0287901,0.00959671
4,434.893,2.17735,1.24561,0.00541,0.81747,0.77334,0.69029,0.24471,2.08366,1.14988,0.00524,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,536.328,2.08603,1.20099,0.00516,0.84409,0.81089,0.77594,0.29549,1.99251,1.04893,0.0049,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,639.241,2.0322,1.15836,0.00495,0.78634,0.80853,0.76836,0.28189,1.99124,1.11581,0.00499,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,741.683,2.00092,1.11312,0.00484,0.86162,0.83315,0.81858,0.31512,1.87798,1.05213,0.00458,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,844.389,1.98049,1.08941,0.00477,0.83788,0.87795,0.82389,0.30742,1.97847,1.0341,0.00485,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,947.388,1.95117,1.09199,0.0047,0.87123,0.84549,0.82915,0.34787,1.82139,0.98623,0.00446,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,1050.84,1.92717,1.07906,0.00463,0.84337,0.83932,0.83236,0.37117,1.74285,0.99997,0.00425,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
